user_name,comment
枫江溪水,手机下单一天就到手，极光色的。运行非常流畅，程序几乎是秒开。手机大小合适，没有想象中那么大，手大点的单手都能操作了。拍照效果还行，还在研究中。
中***骚,用了近20天，使用非常棒，尤其是超级夜景功能。以前用?手机从4-5-6-7-X，用够了，换个系统用用也非常好，超级快充，拍照，屏幕分辨率显示并没有任何问题，感觉上没啥区别，刚开始使用会有点不适应，用几天就习惯了。
jd_比比更实,做工外观:外观很不错，颜色也好看，手感也好，整体来说很优秀，屏占比很高，不是特别重 配置性能:华为P30Pro的配置还是很不错的，比较高，麒麟980不比骁龙855差，各有各的优点，玩游戏超级赞，根本不用考虑卡顿的问题，电池容量大，续航还是比较满意的，而且充电超级快 系统流畅度:系统流畅好用，整体设计的不错，喜欢华为的小应用，使用方便 拍照效果:拍照效果不需要多说了，和宣传的一样超级赞，谁用谁知道
默***买,"颜色鲜艳好看呀，运行速度很快,很流畅,比之前的机器流畅，磁悬发生很新奇,声音效果可以，电池续航:40W快充强的一批，拍照目前最强拍照没有了吧，ip68防水,无线快充15W,全功能TypeC接口，外观超好看哈,9.1的系统很不错~"
花生花朵莎拉,用了一段再来评价，我用过最好的手机，拍照功能强大哦，手感舒适。运行速度流畅。值得爱惜。运行很多软件，依然流畅，充电速度快。好好保护它，真的很喜欢。
栩陌,超过想象，加油华为。 一代更比一代强，更出色的拍照，更出色的设计。流畅度一流，不比苹果差，关键电池比苹果更耐用。性能足够应对现实中的使用。 做工外观一流，不是小米那些能比。 拍照真的相当好
ceekay杰,显示效果：效果很好，屏幕很好看，手感很好！ 运行速度：速度很快，流畅！ 电池续航：电池可以，到货三天了，没怎么用，就下载程序在用，电还没用完！ 拍照效果：拍照很牛，是真的强，很喜欢！ 其他特色：自带的软件程序也很是实用，比如量距离，面积，身高，容积，操作简单方便，很好！客服也很好，服务解答速度快！
j***子,发货及时，到货及时，服务到位，好评！
i***5,不愧为国家通迅高科技领军企业，高端手机越来越强大，屏幕虽然只是1080p，但没感觉有颗粒感，很清晰。系统很流畅，功能很多，跟苹果系统没有什么差别，手机做工很优秀，手感舒服极了，照相更不用说，碾压一切手机，永远支持和爱华为。
H***k,京东就是快，昨天买的，今天就到了，太喜欢了 新配色 手感一流，真心好看。主流配置 很流畅 不比水果机差。国民神机。收到后，最想拍我家的花园，微距、大光圈、逆光、广角、慢镜头摄影……要有多美就有多美！太喜欢了，国民神机。
